Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,pair,Baseline,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.0755360623781676,0.0760233918128654,0.062907268170426,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.0186813186813186,0.036734693877551,0.0247619047619047,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.0114942528735632,0.0172413793103448,0.0137931034482758,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.0668202764976958,0.0725806451612903,0.068100358422939,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair13,Baseline,0.05,0.104,0.0661176470588235,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.2142857142857142
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.0308778653040948,0.0669398907103825,0.0390365099381492,0.0695652173913043,0.0695652173913043,0.0695652173913043,0.0695652173913043
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.1041666666666666,0.0823717948717948,0.0774891774891774,0.102803738317757,0.102803738317757,0.102803738317757,0.102803738317757
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.0679411764705882,0.0946428571428571,0.0670454545454545,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.1034482758620689
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.0661157024793388,0.103030303030303,0.0782828282828282,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1351351351351351
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.0555555555555555,0.08008658008658,0.0625,0.2444444444444444,0.2444444444444444,0.2444444444444444,0.2444444444444444
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair14,Baseline,0.0745798319327731,0.0833333333333333,0.0698340874811462,0.15625,0.15625,0.15625,0.15625
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.0342362792574656,0.0492772108843537,0.0267646551374172,0.0544217687074829,0.0544217687074829,0.0544217687074829,0.0544217687074829
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.0346169354838709,0.0638888888888888,0.0316498316498316,0.0636363636363636,0.0636363636363636,0.0636363636363636,0.0636363636363636
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.1145833333333333,0.1296296296296296,0.1124074074074074,0.25,0.25,0.25,0.25
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.0569444444444444,0.1416666666666666,0.0785714285714285,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.0089285714285714,0.0214285714285714,0.0126050420168067,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair15,Baseline,0.0227272727272727,0.0909090909090909,0.0363636363636363,0.1,0.1,0.1,0.1
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.0954621401989823,0.1439014202172097,0.0899205083415609,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1777777777777777
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.1059394409937888,0.2010869565217391,0.1252933057280883,0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.1403846153846153,0.2115384615384615,0.1606837606837606,0.25,0.25,0.25,0.25
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.1021825396825396,0.1785714285714285,0.1166666666666666,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.2083333333333333
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.0615384615384615,0.0615384615384615,0.0615384615384615,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair16,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair17,Baseline,0.0940934065934065,0.0825320512820513,0.0788461538461538,0.1125,0.1125,0.1125,0.1125
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair17,Baseline,0.02,0.04,0.0266666666666666,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair17,Baseline,0.2,0.2,0.2,0.5,0.5,0.5,0.5
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair17,Baseline,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.4,0.4,0.4,0.4
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair17,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.0330882352941176,0.0514705882352941,0.0317460317460317,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.12,0.08,0.0933333333333333,0.12,0.12,0.12,0.12
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.2424242424242424,0.2272727272727272,0.2303030303030303,0.375,0.375,0.375,0.375
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.1041666666666666,0.125,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair18,Baseline,0.1298701298701298,0.1454545454545454,0.1363636363636363,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.0370211813425109,0.0687134502923976,0.0440600335337177,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.1162280701754385,0.1447368421052631,0.113157894736842,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1777777777777777
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.074074074074074,0.074074074074074,0.074074074074074,0.074074074074074
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.03125,0.0625,0.0416666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair20,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair21,Baseline,0.0083333333333333,0.025,0.0125,0.088235294117647,0.088235294117647,0.088235294117647,0.088235294117647
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair21,Baseline,0.0677083333333333,0.0416666666666666,0.0442708333333333,0.131578947368421,0.131578947368421,0.131578947368421,0.131578947368421
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair21,Baseline,0.0192307692307692,0.0219780219780219,0.0205128205128205,0.125,0.125,0.125,0.125
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair21,Baseline,0.0263157894736842,0.0526315789473684,0.0350877192982456,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair21,Baseline,0.0303030303030303,0.0454545454545454,0.0363636363636363,0.125,0.125,0.125,0.125
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.0881469979296066,0.1600596760443307,0.1011387163561076,0.2235294117647059,0.2235294117647059,0.2235294117647059,0.2235294117647059
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.0905844155844155,0.1063311688311688,0.0867044505202399,0.1690140845070422,0.1690140845070422,0.1690140845070422,0.1690140845070422
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.0654761904761904,0.0935374149659863,0.0718954248366013,0.1296296296296296,0.1296296296296296,0.1296296296296296,0.1296296296296296
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.074074074074074,0.1587301587301587,0.0924803591470258,0.2068965517241379,0.2068965517241379,0.2068965517241379,0.2068965517241379
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.0654761904761904,0.0892857142857142,0.0738095238095238,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair22,Baseline,0.1026666666666666,0.0833333333333333,0.0744126984126984,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483
